"V1","V2","V3","V4"
0.12059925093633,0.125,0.0585343011004449,NA
0.284644194756554,0.3125,0.250878014516507,NA
0.152808988764045,0.140625,0.192811987824865,NA
0.0921348314606742,0.09375,0.147857644579724,NA
0.0554307116104869,0.125,0.0985717630531491,NA
0.048689138576779,0.03125,0.0702411613205338,NA
0.0367041198501873,0.078125,0.0492858815265746,NA
0.0374531835205993,0.015625,0.0394521189416998,NA
0.0329588014981273,0.03125,0.0264575040974011,NA
0.0187265917602996,0.015625,0.0175602903301335,NA
0.0179775280898876,0.03125,0.013814095059705,NA
0.0149812734082397,0,0.0091313509716694,NA
0.0134831460674157,0,0.00632170451884805,NA
0.00749063670411985,0,0.00479981269023648,NA
0.0134831460674157,0,0.0045656754858347,NA
0.00898876404494382,0,0.0022243034418169,NA
0.00299625468164794,0,0.00187309763521424,NA
0.00299625468164794,0,0.00105361741980801,NA
0.00599250936329588,0,0.00163896043081246,NA
0.0314606741573034,0,0.00292671505502224,NA
